Parameter,Units,Event,Value
Inundation duration,[hrs],1,2.05
Inundation duration,[hrs],2,1.96666666666667
Inundation duration,[hrs],3,2.38333333333333
Inundation duration,[hrs],4,2
Inundation duration,[hrs],5,2.73333333333333
Inundation duration,[hrs],6,2.38333333333333
Inundation duration,[hrs],7,3.1
Inundation duration,[hrs],8,2.41666666666667
Inundation duration,[hrs],9,2.65
Inundation duration,[hrs],10,1.88333333333333
Upper 95th percentile current velocity,[m/s],1,0.291963965055823
Upper 95th percentile current velocity,[m/s],2,0.190241051860648
Upper 95th percentile current velocity,[m/s],3,0.304593217419475
Upper 95th percentile current velocity,[m/s],4,0.0870155915036284
Upper 95th percentile current velocity,[m/s],5,0.141350930553591
Upper 95th percentile current velocity,[m/s],6,0.136632771514117
Upper 95th percentile current velocity,[m/s],7,0.194505278149515
Upper 95th percentile current velocity,[m/s],8,0.153040655342051
Upper 95th percentile current velocity,[m/s],9,0.177174401436262
Upper 95th percentile current velocity,[m/s],10,0.206382229303658
Mean current velocity,[m/s],1,0.24162497021516
Mean current velocity,[m/s],2,0.142751345464143
Mean current velocity,[m/s],3,0.220249828878986
Mean current velocity,[m/s],4,0.0272082431554103
Mean current velocity,[m/s],5,0.0392503310993279
Mean current velocity,[m/s],6,0.058106057628471
Mean current velocity,[m/s],7,0.0917721442953471
Mean current velocity,[m/s],8,0.0478982205771091
Mean current velocity,[m/s],9,0.0489264645360887
Mean current velocity,[m/s],10,0.134075863343277
Median current velocity,[m/s],1,0.244534472864052
Median current velocity,[m/s],2,0.143119327094158
Median current velocity,[m/s],3,0.232948203259825
Median current velocity,[m/s],4,0.0179273649999999
Median current velocity,[m/s],5,0.0179273649999999
Median current velocity,[m/s],6,0.0347612162008901
Median current velocity,[m/s],7,0.0840931833549984
Median current velocity,[m/s],8,0.0179273649999999
Median current velocity,[m/s],9,0.0179273649999999
Median current velocity,[m/s],10,0.131352858258822
Upper 95th percentile ebb-flood ratio,[-],1,1.04496404302084
Upper 95th percentile ebb-flood ratio,[-],2,1.14121536562487
Upper 95th percentile ebb-flood ratio,[-],3,1.16571281861569
Upper 95th percentile ebb-flood ratio,[-],4,3.68976679082333
Upper 95th percentile ebb-flood ratio,[-],5,2.42931248841278
Upper 95th percentile ebb-flood ratio,[-],6,0.433227267230737
Upper 95th percentile ebb-flood ratio,[-],7,1.33423453273517
Upper 95th percentile ebb-flood ratio,[-],8,0.852114737663039
Upper 95th percentile ebb-flood ratio,[-],9,1.11293539868127
Upper 95th percentile ebb-flood ratio,[-],10,1.2829000111215
Upper 95th percentile wave orbital velocity,[m/s],1,0.191344146608715
Upper 95th percentile wave orbital velocity,[m/s],2,0.118066509115862
Upper 95th percentile wave orbital velocity,[m/s],3,0.184127461893827
Upper 95th percentile wave orbital velocity,[m/s],4,0.0392314319167103
Upper 95th percentile wave orbital velocity,[m/s],5,0.0529235566637307
Upper 95th percentile wave orbital velocity,[m/s],6,0.0792914924614585
Upper 95th percentile wave orbital velocity,[m/s],7,0.118354834672796
Upper 95th percentile wave orbital velocity,[m/s],8,0.0862193338523232
Upper 95th percentile wave orbital velocity,[m/s],9,0.0608337306188422
Upper 95th percentile wave orbital velocity,[m/s],10,0.124566780107208
Mean wave orbital velocity,[m/s],1,0.136270765021598
Mean wave orbital velocity,[m/s],2,0.0839493005402989
Mean wave orbital velocity,[m/s],3,0.117115893151548
Mean wave orbital velocity,[m/s],4,0.019975088494755
Mean wave orbital velocity,[m/s],5,0.0239487926958269
Mean wave orbital velocity,[m/s],6,0.0415843045241192
Mean wave orbital velocity,[m/s],7,0.0583698935196047
Mean wave orbital velocity,[m/s],8,0.0335805605709493
Mean wave orbital velocity,[m/s],9,0.0294952097642001
Mean wave orbital velocity,[m/s],10,0.0833704045174946
Median wave orbital velocity,[m/s],1,0.132105637857994
Median wave orbital velocity,[m/s],2,0.0820076835195769
Median wave orbital velocity,[m/s],3,0.116047717656635
Median wave orbital velocity,[m/s],4,0.0128693253198333
Median wave orbital velocity,[m/s],5,0.0204462482524245
Median wave orbital velocity,[m/s],6,0.040416246201718
Median wave orbital velocity,[m/s],7,0.050300331483219
Median wave orbital velocity,[m/s],8,0.023504369992334
Median wave orbital velocity,[m/s],9,0.0233366835246063
Median wave orbital velocity,[m/s],10,0.0803291284315384
