Parameter,Units,datetime,Value,FullDay
Inundation duration,[hrs],2022-01-30,6.61666666666667,FALSE
Inundation duration,[hrs],2022-01-31,24,TRUE
Inundation duration,[hrs],2022-02-01,24,TRUE
Inundation duration,[hrs],2022-02-02,15.2,TRUE
Inundation duration,[hrs],2022-02-03,23.2,TRUE
Inundation duration,[hrs],2022-02-04,15.65,TRUE
Inundation duration,[hrs],2022-02-05,13.75,TRUE
Inundation duration,[hrs],2022-02-06,7.3,TRUE
Inundation duration,[hrs],2022-02-07,1.91666666666667,TRUE
Inundation duration,[hrs],2022-02-08,0,TRUE
Inundation duration,[hrs],2022-02-09,0,TRUE
Inundation duration,[hrs],2022-02-10,0,TRUE
Inundation duration,[hrs],2022-02-11,0,TRUE
Inundation duration,[hrs],2022-02-12,0,TRUE
Inundation duration,[hrs],2022-02-13,0,TRUE
Inundation duration,[hrs],2022-02-14,0,TRUE
Inundation duration,[hrs],2022-02-15,3.5,TRUE
Inundation duration,[hrs],2022-02-16,22.0333333333333,TRUE
Inundation duration,[hrs],2022-02-17,17.9166666666667,TRUE
Inundation duration,[hrs],2022-02-18,15.25,TRUE
Inundation duration,[hrs],2022-02-19,24,TRUE
Inundation duration,[hrs],2022-02-20,16.3,TRUE
Inundation duration,[hrs],2022-02-21,22.8666666666667,TRUE
Inundation duration,[hrs],2022-02-22,7.8,TRUE
Inundation duration,[hrs],2022-02-23,7.85,TRUE
Inundation duration,[hrs],2022-02-24,0,FALSE
Emersion duration,[hrs],2022-01-30,2.36666666666667,FALSE
Emersion duration,[hrs],2022-01-31,0,TRUE
Emersion duration,[hrs],2022-02-01,0,TRUE
Emersion duration,[hrs],2022-02-02,8.8,TRUE
Emersion duration,[hrs],2022-02-03,0.8,TRUE
Emersion duration,[hrs],2022-02-04,8.35,TRUE
Emersion duration,[hrs],2022-02-05,10.25,TRUE
Emersion duration,[hrs],2022-02-06,16.7,TRUE
Emersion duration,[hrs],2022-02-07,22.0833333333333,TRUE
Emersion duration,[hrs],2022-02-08,24,TRUE
Emersion duration,[hrs],2022-02-09,24,TRUE
Emersion duration,[hrs],2022-02-10,24,TRUE
Emersion duration,[hrs],2022-02-11,24,TRUE
Emersion duration,[hrs],2022-02-12,24,TRUE
Emersion duration,[hrs],2022-02-13,24,TRUE
Emersion duration,[hrs],2022-02-14,24,TRUE
Emersion duration,[hrs],2022-02-15,20.5,TRUE
Emersion duration,[hrs],2022-02-16,1.96666666666667,TRUE
Emersion duration,[hrs],2022-02-17,6.08333333333333,TRUE
Emersion duration,[hrs],2022-02-18,8.75,TRUE
Emersion duration,[hrs],2022-02-19,0,TRUE
Emersion duration,[hrs],2022-02-20,7.7,TRUE
Emersion duration,[hrs],2022-02-21,1.13333333333333,TRUE
Emersion duration,[hrs],2022-02-22,16.2,TRUE
Emersion duration,[hrs],2022-02-23,16.15,TRUE
Emersion duration,[hrs],2022-02-24,4.63333333333333,FALSE
Inundation proportion,[%],2022-01-30,27.5694444444444,FALSE
Inundation proportion,[%],2022-01-31,100,TRUE
Inundation proportion,[%],2022-02-01,100,TRUE
Inundation proportion,[%],2022-02-02,63.3333333333333,TRUE
Inundation proportion,[%],2022-02-03,96.6666666666667,TRUE
Inundation proportion,[%],2022-02-04,65.2083333333333,TRUE
Inundation proportion,[%],2022-02-05,57.2916666666667,TRUE
Inundation proportion,[%],2022-02-06,30.4166666666667,TRUE
Inundation proportion,[%],2022-02-07,7.98611111111111,TRUE
Inundation proportion,[%],2022-02-08,0,TRUE
Inundation proportion,[%],2022-02-09,0,TRUE
Inundation proportion,[%],2022-02-10,0,TRUE
Inundation proportion,[%],2022-02-11,0,TRUE
Inundation proportion,[%],2022-02-12,0,TRUE
Inundation proportion,[%],2022-02-13,0,TRUE
Inundation proportion,[%],2022-02-14,0,TRUE
Inundation proportion,[%],2022-02-15,14.5833333333333,TRUE
Inundation proportion,[%],2022-02-16,91.8055555555556,TRUE
Inundation proportion,[%],2022-02-17,74.6527777777778,TRUE
Inundation proportion,[%],2022-02-18,63.5416666666667,TRUE
Inundation proportion,[%],2022-02-19,100,TRUE
Inundation proportion,[%],2022-02-20,67.9166666666667,TRUE
Inundation proportion,[%],2022-02-21,95.2777777777778,TRUE
Inundation proportion,[%],2022-02-22,32.5,TRUE
Inundation proportion,[%],2022-02-23,32.7083333333333,TRUE
Inundation proportion,[%],2022-02-24,0,FALSE
Emersion proportion,[%],2022-01-30,9.86111111111111,FALSE
Emersion proportion,[%],2022-01-31,0,TRUE
Emersion proportion,[%],2022-02-01,0,TRUE
Emersion proportion,[%],2022-02-02,36.6666666666667,TRUE
Emersion proportion,[%],2022-02-03,3.33333333333333,TRUE
Emersion proportion,[%],2022-02-04,34.7916666666667,TRUE
Emersion proportion,[%],2022-02-05,42.7083333333333,TRUE
Emersion proportion,[%],2022-02-06,69.5833333333333,TRUE
Emersion proportion,[%],2022-02-07,92.0138888888889,TRUE
Emersion proportion,[%],2022-02-08,100,TRUE
Emersion proportion,[%],2022-02-09,100,TRUE
Emersion proportion,[%],2022-02-10,100,TRUE
Emersion proportion,[%],2022-02-11,100,TRUE
Emersion proportion,[%],2022-02-12,100,TRUE
Emersion proportion,[%],2022-02-13,100,TRUE
