Parameter,Units,Event,Tide,Value
Upper 95th percentile current velocity,[m/s],1,Ebb,
Upper 95th percentile current velocity,[m/s],1,Flood,
Upper 95th percentile current velocity,[m/s],2,Ebb,0.762310804895262
Upper 95th percentile current velocity,[m/s],2,Flood,0.726347088969205
Upper 95th percentile current velocity,[m/s],3,Ebb,0.787344202765043
Upper 95th percentile current velocity,[m/s],3,Flood,0.784104125681287
Upper 95th percentile current velocity,[m/s],4,Ebb,0.750415513615002
Upper 95th percentile current velocity,[m/s],4,Flood,0.75066308515841
Upper 95th percentile current velocity,[m/s],5,Ebb,0.169887172907758
Upper 95th percentile current velocity,[m/s],5,Flood,0.125034458389109
Upper 95th percentile current velocity,[m/s],6,Ebb,0.632207420663099
Upper 95th percentile current velocity,[m/s],6,Flood,0.626117510504772
Upper 95th percentile current velocity,[m/s],7,Ebb,0.0660057880395967
Upper 95th percentile current velocity,[m/s],7,Flood,0.175038749796944
Upper 95th percentile current velocity,[m/s],8,Ebb,0.242147401556547
Upper 95th percentile current velocity,[m/s],8,Flood,
Upper 95th percentile current velocity,[m/s],9,Ebb,0.262144453333051
Upper 95th percentile current velocity,[m/s],9,Flood,0.256202490975446
Upper 95th percentile current velocity,[m/s],10,Ebb,
Upper 95th percentile current velocity,[m/s],10,Flood,
Upper 95th percentile current velocity,[m/s],11,Ebb,0.789285880178299
Upper 95th percentile current velocity,[m/s],11,Flood,0.786597400660631
Upper 95th percentile current velocity,[m/s],12,Ebb,0.791557044709167
Upper 95th percentile current velocity,[m/s],12,Flood,0.791445966159161
Upper 95th percentile current velocity,[m/s],13,Ebb,0.769851587975964
Upper 95th percentile current velocity,[m/s],13,Flood,0.751034375366709
Upper 95th percentile current velocity,[m/s],14,Ebb,0.745911661979834
Upper 95th percentile current velocity,[m/s],14,Flood,0.770194469367706
Upper 95th percentile current velocity,[m/s],15,Ebb,0.293953791854588
Upper 95th percentile current velocity,[m/s],15,Flood,0.34344981353777
Upper 95th percentile current velocity,[m/s],16,Ebb,
Upper 95th percentile current velocity,[m/s],16,Flood,
Upper 95th percentile current velocity,[m/s],17,Ebb,0.306474993003834
Upper 95th percentile current velocity,[m/s],17,Flood,0.243245837211227
Mean current velocity,[m/s],1,Ebb,
Mean current velocity,[m/s],1,Flood,
Mean current velocity,[m/s],2,Ebb,0.6741227742328
Mean current velocity,[m/s],2,Flood,0.67236109169844
Mean current velocity,[m/s],3,Ebb,0.650206535192991
Mean current velocity,[m/s],3,Flood,0.675901166440713
Mean current velocity,[m/s],4,Ebb,0.659941053087296
Mean current velocity,[m/s],4,Flood,0.682720867982712
Mean current velocity,[m/s],5,Ebb,0.0995650959399853
