Parameter,Units,N.Event,Value
emersion duration,[hrs],1,2.36666666666667
emersion duration,[hrs],2,8.8
emersion duration,[hrs],3,1.16666666666667
emersion duration,[hrs],4,9.38333333333333
emersion duration,[hrs],5,8.85
emersion duration,[hrs],6,9.63333333333333
emersion duration,[hrs],7,22.45
emersion duration,[hrs],8,185.066666666667
emersion duration,[hrs],9,10.1333333333333
emersion duration,[hrs],10,1.96666666666667
emersion duration,[hrs],11,6.08333333333333
emersion duration,[hrs],12,8.75
emersion duration,[hrs],13,8.83333333333333
emersion duration,[hrs],14,9.31666666666667
emersion duration,[hrs],15,10.0666666666667
emersion duration,[hrs],16,7.98333333333333
emersion duration,[hrs],17,9.61666666666667
