Serial Number:20343015 --

Date Time - GMT -04:00,"Temp, (*C)","Intensity, (lux)",Button Down,Button Up,Host Connect,EOF,
2018-06-09 17:00:00,21.62,8453, , , , ,
2018-06-09 17:00:15,21.53,8440, , , , ,
2018-06-09 17:00:30,21.53,8440, , , , ,
2018-06-09 17:00:45,21.49,8453, , , , ,
2018-06-09 17:01:00,21.45,8492, , , , ,
2018-06-09 17:01:15,21.40,8535, , , , ,
2018-06-09 17:01:30,21.36,8586, , , , ,
2018-06-09 17:01:45,21.36,8658, , , , ,
2018-06-09 17:02:00,21.32,8717, , , , ,
2018-06-09 17:02:15,21.28,8806, , , , ,
2018-06-09 17:02:30,21.23,8878, , , , ,
2018-06-09 17:02:45,21.19,8973, , , , ,
2018-06-09 17:03:00,21.23,9024, , , , ,
2018-06-09 17:03:15,21.15,9091, , , , ,
2018-06-09 17:03:30,21.15,9134, , , , ,
2018-06-09 17:03:45,21.15,9142, , , , ,
2018-06-09 17:04:00,21.10,9149, , , , ,
2018-06-09 17:04:15,21.10,9149, , , , ,
2018-06-09 17:04:30,21.06,9134, , , , ,
2018-06-09 17:04:45,21.10,9126, , , , ,
2018-06-09 17:05:00,21.06,9106, , , , ,
2018-06-09 17:05:15,21.02,9055, , , , ,
2018-06-09 17:05:30,20.98,8996, , , , ,
2018-06-09 17:05:45,20.98,8965, , , , ,
2018-06-09 17:06:00,20.93,8886, , , , ,
2018-06-09 17:06:15,20.98,8835, , , , ,
2018-06-09 17:06:30,20.89,8755, , , , ,
2018-06-09 17:06:45,20.89,8689, , , , ,
2018-06-09 17:07:00,20.93,8681, , , , ,
2018-06-09 17:07:15,20.85,8630, , , , ,
2018-06-09 17:07:30,20.89,8579, , , , ,
2018-06-09 17:07:45,20.89,8556, , , , ,
2018-06-09 17:08:00,20.85,8535, , , , ,
2018-06-09 17:08:15,20.80,8543, , , , ,
2018-06-09 17:08:30,20.76,8550, , , , ,
2018-06-09 17:08:45,20.76,8543, , , , ,
2018-06-09 17:09:00,20.72,8556, , , , ,
2018-06-09 17:09:15,20.72,8579, , , , ,
2018-06-09 17:09:30,20.63,8602, , , , ,
2018-06-09 17:09:45,20.68,8630, , , , ,
2018-06-09 17:10:00,20.63,8673, , , , ,
2018-06-09 17:10:15,20.59,8704, , , , ,
2018-06-09 17:10:30,20.59,8748, , , , ,
2018-06-09 17:10:45,20.59,8819, , , , ,
2018-06-09 17:11:00,20.50,8863, , , , ,
2018-06-09 17:11:15,20.46,8937, , , , ,
2018-06-09 17:11:30,20.50,9016, , , , ,
