"Plot Title: L11"
"#","Date Time, GMT+01:00","X Accel, g (LGR S/N: 21217339, SEN S/N: 21217339)","Coupler Attached (LGR S/N: 21217339)","Host Connected (LGR S/N: 21217339)","Stopped (LGR S/N: 21217339)","End Of File (LGR S/N: 21217339)"
1,06/02/22 12:00:00 PM,0.100,,,,
2,06/02/22 12:01:00 PM,0.100,,,,
3,06/02/22 12:02:00 PM,0.100,,,,
4,06/02/22 12:03:00 PM,0.100,,,,
5,06/02/22 12:04:00 PM,0.100,,,,
6,06/02/22 12:05:00 PM,0.100,,,,
7,06/02/22 12:06:00 PM,0.100,,,,
8,06/02/22 12:07:00 PM,0.100,,,,
9,06/02/22 12:08:00 PM,0.100,,,,
10,06/02/22 12:09:00 PM,0.100,,,,
11,06/02/22 12:10:00 PM,0.100,,,,
12,06/02/22 12:11:00 PM,0.100,,,,
13,06/02/22 12:12:00 PM,0.100,,,,
14,06/02/22 12:13:00 PM,0.100,,,,
15,06/02/22 12:14:00 PM,0.100,,,,
16,06/02/22 12:15:00 PM,0.100,,,,
17,06/02/22 12:16:00 PM,0.100,,,,
18,06/02/22 12:17:00 PM,0.100,,,,
19,06/02/22 12:18:00 PM,0.100,,,,
20,06/02/22 12:19:00 PM,0.100,,,,
21,06/02/22 12:20:00 PM,0.100,,,,
22,06/02/22 12:21:00 PM,0.100,,,,
23,06/02/22 12:22:00 PM,0.100,,,,
24,06/02/22 12:23:00 PM,0.100,,,,
25,06/02/22 12:24:00 PM,0.100,,,,
26,06/02/22 12:25:00 PM,0.100,,,,
27,06/02/22 12:26:00 PM,0.100,,,,
28,06/02/22 12:27:00 PM,0.100,,,,
29,06/02/22 12:28:00 PM,0.100,,,,
30,06/02/22 12:29:00 PM,0.100,,,,
31,06/02/22 12:30:00 PM,0.100,,,,
32,06/02/22 12:31:00 PM,0.100,,,,
33,06/02/22 12:32:00 PM,0.100,,,,
34,06/02/22 12:33:00 PM,0.100,,,,
35,06/02/22 12:34:00 PM,0.100,,,,
36,06/02/22 12:35:00 PM,0.100,,,,
37,06/02/22 12:36:00 PM,0.100,,,,
38,06/02/22 12:37:00 PM,0.100,,,,
39,06/02/22 12:38:00 PM,0.100,,,,
40,06/02/22 12:39:00 PM,0.100,,,,
41,06/02/22 12:40:00 PM,0.100,,,,
42,06/02/22 12:41:00 PM,0.100,,,,
43,06/02/22 12:42:00 PM,0.100,,,,
44,06/02/22 12:43:00 PM,0.100,,,,
45,06/02/22 12:44:00 PM,0.100,,,,
46,06/02/22 12:45:00 PM,0.100,,,,
47,06/02/22 12:46:00 PM,0.100,,,,
48,06/02/22 12:47:00 PM,0.100,,,,
49,06/02/22 12:48:00 PM,0.100,,,,
50,06/02/22 12:49:00 PM,0.100,,,,
51,06/02/22 12:50:00 PM,0.100,,,,
52,06/02/22 12:51:00 PM,0.100,,,,
53,06/02/22 12:52:00 PM,0.100,,,,
54,06/02/22 12:53:00 PM,0.100,,,,
55,06/02/22 12:54:00 PM,0.100,,,,
56,06/02/22 12:55:00 PM,0.100,,,,
57,06/02/22 12:56:00 PM,0.100,,,,
58,06/02/22 12:57:00 PM,0.100,,,,
59,06/02/22 12:58:00 PM,0.100,,,,
60,06/02/22 12:59:00 PM,0.100,,,,
61,06/02/22 01:00:00 PM,0.100,,,,
62,06/02/22 01:01:00 PM,0.100,,,,
63,06/02/22 01:02:00 PM,0.100,,,,
64,06/02/22 01:03:00 PM,0.100,,,,
65,06/02/22 01:04:00 PM,0.100,,,,
66,06/02/22 01:05:00 PM,0.100,,,,
67,06/02/22 01:06:00 PM,0.100,,,,
68,06/02/22 01:07:00 PM,0.100,,,,
69,06/02/22 01:08:00 PM,0.100,,,,
70,06/02/22 01:09:00 PM,0.100,,,,
71,06/02/22 01:10:00 PM,0.100,,,,
72,06/02/22 01:11:00 PM,0.100,,,,
73,06/02/22 01:12:00 PM,0.100,,,,
74,06/02/22 01:13:00 PM,0.100,,,,
75,06/02/22 01:14:00 PM,0.100,,,,
76,06/02/22 01:15:00 PM,0.100,,,,
77,06/02/22 01:16:00 PM,0.100,,,,
78,06/02/22 01:17:00 PM,0.100,,,,
79,06/02/22 01:18:00 PM,0.100,,,,
80,06/02/22 01:19:00 PM,0.100,,,,
81,06/02/22 01:20:00 PM,0.100,,,,
82,06/02/22 01:21:00 PM,0.100,,,,
83,06/02/22 01:22:00 PM,0.100,,,,
84,06/02/22 01:23:00 PM,0.100,,,,
85,06/02/22 01:24:00 PM,0.100,,,,
86,06/02/22 01:25:00 PM,0.100,,,,
87,06/02/22 01:26:00 PM,0.100,,,,
88,06/02/22 01:27:00 PM,0.100,,,,
89,06/02/22 01:28:00 PM,0.100,,,,
90,06/02/22 01:29:00 PM,0.100,,,,
91,06/02/22 01:30:00 PM,0.100,,,,
92,06/02/22 01:31:00 PM,0.100,,,,
93,06/02/22 01:32:00 PM,0.100,,,,
94,06/02/22 01:33:00 PM,0.100,,,,
95,06/02/22 01:34:00 PM,0.100,,,,
96,06/02/22 01:35:00 PM,0.100,,,,
97,06/02/22 01:36:00 PM,0.100,,,,
98,06/02/22 01:37:00 PM,0.100,,,,
99,06/02/22 01:38:00 PM,0.100,,,,
100,06/02/22 01:39:00 PM,0.100,,,,
101,06/02/22 01:40:00 PM,0.100,,,,
102,06/02/22 01:41:00 PM,0.100,,,,
103,06/02/22 01:42:00 PM,0.100,,,,
104,06/02/22 01:43:00 PM,0.100,,,,
105,06/02/22 01:44:00 PM,0.100,,,,
106,06/02/22 01:45:00 PM,0.100,,,,
107,06/02/22 01:46:00 PM,0.100,,,,
108,06/02/22 01:47:00 PM,0.100,,,,
109,06/02/22 01:48:00 PM,0.100,,,,
110,06/02/22 01:49:00 PM,0.100,,,,
111,06/02/22 01:50:00 PM,0.100,,,,
112,06/02/22 01:51:00 PM,0.100,,,,
113,06/02/22 01:52:00 PM,0.100,,,,
114,06/02/22 01:53:00 PM,0.100,,,,
115,06/02/22 01:54:00 PM,0.100,,,,
116,06/02/22 01:55:00 PM,0.100,,,,
117,06/02/22 01:56:00 PM,0.100,,,,
118,06/02/22 01:57:00 PM,0.100,,,,
119,06/02/22 01:58:00 PM,0.100,,,,
120,06/02/22 01:59:00 PM,0.100,,,,
121,06/02/22 02:00:00 PM,0.100,,,,
122,06/02/22 02:01:00 PM,0.100,,,,
123,06/02/22 02:02:00 PM,0.100,,,,
124,06/02/22 02:03:00 PM,0.100,,,,
125,06/02/22 02:04:00 PM,0.100,,,,
126,06/02/22 02:05:00 PM,0.100,,,,
127,06/02/22 02:06:00 PM,0.100,,,,
128,06/02/22 02:07:00 PM,0.100,,,,
129,06/02/22 02:08:00 PM,0.075,,,,
130,06/02/22 02:09:00 PM,0.100,,,,
131,06/02/22 02:10:00 PM,0.100,,,,
132,06/02/22 02:11:00 PM,0.100,,,,
133,06/02/22 02:12:00 PM,0.100,,,,
134,06/02/22 02:13:00 PM,0.100,,,,
135,06/02/22 02:14:00 PM,0.100,,,,
136,06/02/22 02:15:00 PM,0.100,,,,
137,06/02/22 02:16:00 PM,0.100,,,,
138,06/02/22 02:17:00 PM,0.100,,,,
139,06/02/22 02:18:00 PM,0.100,,,,
140,06/02/22 02:19:00 PM,0.100,,,,
141,06/02/22 02:20:00 PM,0.100,,,,
142,06/02/22 02:21:00 PM,0.100,,,,
143,06/02/22 02:22:00 PM,0.100,,,,
144,06/02/22 02:23:00 PM,0.100,,,,
145,06/02/22 02:24:00 PM,0.100,,,,
146,06/02/22 02:25:00 PM,0.100,,,,
147,06/02/22 02:26:00 PM,0.100,,,,
148,06/02/22 02:27:00 PM,0.100,,,,
149,06/02/22 02:28:00 PM,0.100,,,,
150,06/02/22 02:29:00 PM,0.100,,,,
151,06/02/22 02:30:00 PM,0.100,,,,
152,06/02/22 02:31:00 PM,0.100,,,,
153,06/02/22 02:32:00 PM,0.100,,,,
154,06/02/22 02:33:00 PM,0.100,,,,
155,06/02/22 02:34:00 PM,0.100,,,,
156,06/02/22 02:35:00 PM,0.100,,,,
157,06/02/22 02:36:00 PM,0.100,,,,
158,06/02/22 02:37:00 PM,0.100,,,,
159,06/02/22 02:38:00 PM,0.100,,,,
160,06/02/22 02:39:00 PM,0.100,,,,
161,06/02/22 02:40:00 PM,0.100,,,,
162,06/02/22 02:41:00 PM,0.100,,,,
163,06/02/22 02:42:00 PM,0.100,,,,
164,06/02/22 02:43:00 PM,0.100,,,,
165,06/02/22 02:44:00 PM,0.100,,,,
166,06/02/22 02:45:00 PM,0.100,,,,
167,06/02/22 02:46:00 PM,0.100,,,,
168,06/02/22 02:47:00 PM,0.100,,,,
169,06/02/22 02:48:00 PM,0.100,,,,
170,06/02/22 02:49:00 PM,0.100,,,,
171,06/02/22 02:50:00 PM,0.100,,,,
172,06/02/22 02:51:00 PM,0.100,,,,
173,06/02/22 02:52:00 PM,0.100,,,,
174,06/02/22 02:53:00 PM,0.100,,,,
175,06/02/22 02:54:00 PM,0.100,,,,
176,06/02/22 02:55:00 PM,0.100,,,,
177,06/02/22 02:56:00 PM,0.100,,,,
178,06/02/22 02:57:00 PM,0.100,,,,
179,06/02/22 02:58:00 PM,0.100,,,,
180,06/02/22 02:59:00 PM,0.100,,,,
181,06/02/22 03:00:00 PM,0.100,,,,
182,06/02/22 03:01:00 PM,0.100,,,,
183,06/02/22 03:02:00 PM,0.100,,,,
184,06/02/22 03:03:00 PM,0.100,,,,
185,06/02/22 03:04:00 PM,0.100,,,,
186,06/02/22 03:05:00 PM,0.100,,,,
187,06/02/22 03:06:00 PM,0.100,,,,
188,06/02/22 03:07:00 PM,0.100,,,,
189,06/02/22 03:08:00 PM,0.100,,,,
190,06/02/22 03:09:00 PM,0.100,,,,
191,06/02/22 03:10:00 PM,0.100,,,,
192,06/02/22 03:11:00 PM,0.100,,,,
193,06/02/22 03:12:00 PM,0.100,,,,
194,06/02/22 03:13:00 PM,0.100,,,,
195,06/02/22 03:14:00 PM,0.100,,,,
196,06/02/22 03:15:00 PM,0.100,,,,
197,06/02/22 03:16:00 PM,0.100,,,,
198,06/02/22 03:17:00 PM,0.100,,,,
199,06/02/22 03:18:00 PM,0.100,,,,
200,06/02/22 03:19:00 PM,0.100,,,,
201,06/02/22 03:20:00 PM,0.100,,,,
202,06/02/22 03:21:00 PM,0.100,,,,
203,06/02/22 03:22:00 PM,0.100,,,,
204,06/02/22 03:23:00 PM,0.100,,,,
205,06/02/22 03:24:00 PM,0.100,,,,
206,06/02/22 03:25:00 PM,0.100,,,,
207,06/02/22 03:26:00 PM,0.100,,,,
208,06/02/22 03:27:00 PM,0.100,,,,
209,06/02/22 03:28:00 PM,0.100,,,,
210,06/02/22 03:29:00 PM,0.100,,,,
211,06/02/22 03:30:00 PM,0.100,,,,
212,06/02/22 03:31:00 PM,0.100,,,,
213,06/02/22 03:32:00 PM,0.100,,,,
214,06/02/22 03:33:00 PM,0.100,,,,
215,06/02/22 03:34:00 PM,0.100,,,,
216,06/02/22 03:35:00 PM,0.100,,,,
217,06/02/22 03:36:00 PM,0.100,,,,
218,06/02/22 03:37:00 PM,0.100,,,,
219,06/02/22 03:38:00 PM,0.100,,,,
220,06/02/22 03:39:00 PM,0.100,,,,
221,06/02/22 03:40:00 PM,0.100,,,,
222,06/02/22 03:41:00 PM,0.100,,,,
223,06/02/22 03:42:00 PM,0.100,,,,
224,06/02/22 03:43:00 PM,0.100,,,,
225,06/02/22 03:44:00 PM,0.100,,,,
226,06/02/22 03:45:00 PM,0.100,,,,
227,06/02/22 03:46:00 PM,0.100,,,,
228,06/02/22 03:47:00 PM,0.100,,,,
229,06/02/22 03:48:00 PM,0.100,,,,
230,06/02/22 03:49:00 PM,0.100,,,,
231,06/02/22 03:50:00 PM,0.100,,,,
232,06/02/22 03:51:00 PM,0.100,,,,
233,06/02/22 03:52:00 PM,0.100,,,,
234,06/02/22 03:53:00 PM,0.100,,,,
235,06/02/22 03:54:00 PM,0.100,,,,
236,06/02/22 03:55:00 PM,0.100,,,,
237,06/02/22 03:56:00 PM,0.100,,,,
238,06/02/22 03:57:00 PM,0.100,,,,
239,06/02/22 03:58:00 PM,0.100,,,,
240,06/02/22 03:59:00 PM,0.100,,,,
241,06/02/22 04:00:00 PM,0.100,,,,
242,06/02/22 04:01:00 PM,0.100,,,,
243,06/02/22 04:02:00 PM,0.100,,,,
244,06/02/22 04:03:00 PM,0.100,,,,
245,06/02/22 04:04:00 PM,0.100,,,,
246,06/02/22 04:05:00 PM,0.100,,,,
247,06/02/22 04:06:00 PM,0.100,,,,
248,06/02/22 04:07:00 PM,0.100,,,,
249,06/02/22 04:08:00 PM,0.100,,,,
250,06/02/22 04:09:00 PM,0.100,,,,
251,06/02/22 04:10:00 PM,0.100,,,,
252,06/02/22 04:11:00 PM,0.100,,,,
253,06/02/22 04:12:00 PM,0.100,,,,
254,06/02/22 04:13:00 PM,0.100,,,,
255,06/02/22 04:14:00 PM,0.100,,,,
256,06/02/22 04:15:00 PM,0.100,,,,
257,06/02/22 04:16:00 PM,0.100,,,,
258,06/02/22 04:17:00 PM,0.100,,,,
259,06/02/22 04:18:00 PM,0.100,,,,
260,06/02/22 04:19:00 PM,0.100,,,,
261,06/02/22 04:20:00 PM,0.100,,,,
262,06/02/22 04:21:00 PM,0.100,,,,
263,06/02/22 04:22:00 PM,0.100,,,,
264,06/02/22 04:23:00 PM,0.100,,,,
265,06/02/22 04:24:00 PM,0.100,,,,
266,06/02/22 04:25:00 PM,0.100,,,,
267,06/02/22 04:26:00 PM,0.100,,,,
268,06/02/22 04:27:00 PM,0.100,,,,
269,06/02/22 04:28:00 PM,0.100,,,,
270,06/02/22 04:29:00 PM,0.100,,,,
271,06/02/22 04:30:00 PM,0.100,,,,
272,06/02/22 04:31:00 PM,0.100,,,,
273,06/02/22 04:32:00 PM,0.100,,,,
274,06/02/22 04:33:00 PM,0.100,,,,
275,06/02/22 04:34:00 PM,0.100,,,,
276,06/02/22 04:35:00 PM,0.100,,,,
277,06/02/22 04:36:00 PM,0.100,,,,
278,06/02/22 04:37:00 PM,0.100,,,,
279,06/02/22 04:38:00 PM,0.100,,,,
280,06/02/22 04:39:00 PM,0.100,,,,
281,06/02/22 04:40:00 PM,0.100,,,,
282,06/02/22 04:41:00 PM,0.100,,,,
283,06/02/22 04:42:00 PM,0.100,,,,
284,06/02/22 04:43:00 PM,0.100,,,,
285,06/02/22 04:44:00 PM,0.100,,,,
286,06/02/22 04:45:00 PM,0.100,,,,
287,06/02/22 04:46:00 PM,0.100,,,,
288,06/02/22 04:47:00 PM,0.100,,,,
289,06/02/22 04:48:00 PM,0.100,,,,
290,06/02/22 04:49:00 PM,0.100,,,,
291,06/02/22 04:50:00 PM,0.100,,,,
292,06/02/22 04:51:00 PM,0.100,,,,
293,06/02/22 04:52:00 PM,0.100,,,,
294,06/02/22 04:53:00 PM,0.100,,,,
295,06/02/22 04:54:00 PM,0.100,,,,
296,06/02/22 04:55:00 PM,0.075,,,,
297,06/02/22 04:56:00 PM,0.100,,,,
298,06/02/22 04:57:00 PM,0.100,,,,
299,06/02/22 04:58:00 PM,0.100,,,,
300,06/02/22 04:59:00 PM,0.100,,,,
301,06/02/22 05:00:00 PM,0.100,,,,
302,06/02/22 05:01:00 PM,0.100,,,,
303,06/02/22 05:02:00 PM,0.100,,,,
304,06/02/22 05:03:00 PM,0.100,,,,
305,06/02/22 05:04:00 PM,0.100,,,,
306,06/02/22 05:05:00 PM,0.100,,,,
307,06/02/22 05:06:00 PM,0.100,,,,
308,06/02/22 05:07:00 PM,0.075,,,,
309,06/02/22 05:08:00 PM,0.100,,,,
310,06/02/22 05:09:00 PM,0.100,,,,
311,06/02/22 05:10:00 PM,0.100,,,,
312,06/02/22 05:11:00 PM,0.100,,,,
313,06/02/22 05:12:00 PM,0.100,,,,
314,06/02/22 05:13:00 PM,-0.050,,,,
315,06/02/22 05:14:00 PM,-0.200,,,,
316,06/02/22 05:15:00 PM,-0.300,,,,
317,06/02/22 05:16:00 PM,-0.325,,,,
318,06/02/22 05:17:00 PM,-0.600,,,,
319,06/02/22 05:18:00 PM,-0.625,,,,
320,06/02/22 05:19:00 PM,-0.675,,,,
321,06/02/22 05:20:00 PM,-0.775,,,,
322,06/02/22 05:21:00 PM,-0.750,,,,
323,06/02/22 05:22:00 PM,-0.775,,,,
324,06/02/22 05:23:00 PM,-0.750,,,,
325,06/02/22 05:24:00 PM,-0.725,,,,
326,06/02/22 05:25:00 PM,-0.650,,,,
