Serial Number:20343016 --

Date Time - GMT -04:00,"Temp, (*C)","Intensity, (lux)",Button Down,Button Up,Host Connect,EOF,
2018-06-09 17:00:00,23.81,5583, , , , ,
2018-06-09 17:00:15,23.76,5583, , , , ,
2018-06-09 17:00:30,23.68,5594, , , , ,
2018-06-09 17:00:45,23.68,5612, , , , ,
2018-06-09 17:01:00,23.64,5629, , , , ,
2018-06-09 17:01:15,23.59,5665, , , , ,
2018-06-09 17:01:30,23.59,5706, , , , ,
2018-06-09 17:01:45,23.59,5757, , , , ,
2018-06-09 17:02:00,23.51,5806, , , , ,
2018-06-09 17:02:15,23.46,5868, , , , ,
2018-06-09 17:02:30,23.42,5916, , , , ,
2018-06-09 17:02:45,23.38,5967, , , , ,
2018-06-09 17:03:00,23.29,6011, , , , ,
2018-06-09 17:03:15,23.25,6031, , , , ,
2018-06-09 17:03:30,23.25,6052, , , , ,
2018-06-09 17:03:45,23.25,6067, , , , ,
2018-06-09 17:04:00,23.21,6062, , , , ,
2018-06-09 17:04:15,23.16,6052, , , , ,
2018-06-09 17:04:30,23.12,6024, , , , ,
2018-06-09 17:04:45,23.12,6003, , , , ,
2018-06-09 17:05:00,23.12,5967, , , , ,
2018-06-09 17:05:15,23.08,5934, , , , ,
2018-06-09 17:05:30,23.08,5896, , , , ,
2018-06-09 17:05:45,23.08,5857, , , , ,
2018-06-09 17:06:00,23.12,5811, , , , ,
2018-06-09 17:06:15,23.03,5770, , , , ,
2018-06-09 17:06:30,23.03,5724, , , , ,
2018-06-09 17:06:45,22.99,5678, , , , ,
2018-06-09 17:07:00,22.99,5647, , , , ,
2018-06-09 17:07:15,22.95,5604, , , , ,
2018-06-09 17:07:30,22.95,5583, , , , ,
2018-06-09 17:07:45,22.91,5573, , , , ,
2018-06-09 17:08:00,22.86,5563, , , , ,
2018-06-09 17:08:15,22.91,5558, , , , ,
2018-06-09 17:08:30,22.91,5558, , , , ,
2018-06-09 17:08:45,22.82,5558, , , , ,
2018-06-09 17:09:00,22.82,5568, , , , ,
2018-06-09 17:09:15,22.78,5576, , , , ,
2018-06-09 17:09:30,22.73,5586, , , , ,
2018-06-09 17:09:45,22.73,5604, , , , ,
2018-06-09 17:10:00,22.65,5619, , , , ,
2018-06-09 17:10:15,22.69,5645, , , , ,
2018-06-09 17:10:30,22.61,5668, , , , ,
2018-06-09 17:10:45,22.56,5711, , , , ,
2018-06-09 17:11:00,22.56,5760, , , , ,
2018-06-09 17:11:15,22.52,5811, , , , ,
2018-06-09 17:11:30,22.48,5875, , , , ,
2018-06-09 17:11:45,22.48,5957, , , , ,
2018-06-09 17:12:00,22.48,6039, , , , ,
2018-06-09 17:12:15,22.43,6141, , , , ,
2018-06-09 17:12:30,22.43,6280, , , , ,
2018-06-09 17:12:45,22.39,6390, , , , ,
2018-06-09 17:13:00,22.43,7048, , , , ,
2018-06-09 17:13:15,22.43,6666, , , , ,
2018-06-09 17:13:30,22.48,6582, , , , ,
2018-06-09 17:13:45,22.43,6600, , , , ,
2018-06-09 17:14:00,22.43,6653, , , , ,
2018-06-09 17:14:15,22.48,6728, , , , ,
2018-06-09 17:14:30,22.48,6807, , , , ,
2018-06-09 17:14:45,22.52,6876, , , , ,
2018-06-09 17:15:00,22.52,6935, , , , ,
2018-06-09 17:15:15,22.48,6994, , , , ,
2018-06-09 17:15:30,22.43,7050, , , , ,
2018-06-09 17:15:45,22.43,7104, , , , ,
2018-06-09 17:16:00,22.43,7173, , , , ,
2018-06-09 17:16:15,22.39,7237, , , , ,
2018-06-09 17:16:30,22.35,7296, , , , ,
2018-06-09 17:16:45,22.35,7375, , , , ,
2018-06-09 17:17:00,22.35,7457, , , , ,
2018-06-09 17:17:15,22.26,7557, , , , ,
2018-06-09 17:17:30,22.31,7626, , , , ,
2018-06-09 17:17:45,22.26,7713, , , , ,
2018-06-09 17:18:00,22.26,7782, , , , ,
2018-06-09 17:18:15,22.26,7862, , , , ,
2018-06-09 17:18:30,22.26,7954, , , , ,
2018-06-09 17:18:45,22.26,8046, , , , ,
2018-06-09 17:19:00,22.26,8189, , , , ,
2018-06-09 17:19:15,22.26,8466, , , , ,
2018-06-09 17:19:30,22.26,11459, , , , ,
2018-06-09 17:19:45,22.31,8707, , , , ,
2018-06-09 17:20:00,22.26,8614, , , , ,
2018-06-09 17:20:15,22.31,8934, , , , ,
2018-06-09 17:20:30,22.26,8387, , , , ,
2018-06-09 17:20:45,22.22,8317, , , , ,
2018-06-09 17:21:00,22.22,8282, , , , ,
2018-06-09 17:21:15,22.18,8253, , , , ,
2018-06-09 17:21:30,22.13,8266, , , , ,
2018-06-09 17:21:45,22.09,8282, , , , ,
2018-06-09 17:22:00,22.09,8317, , , , ,
2018-06-09 17:22:15,22.05,8346, , , , ,
2018-06-09 17:22:30,22.05,8346, , , , ,
2018-06-09 17:22:45,22.05,8374, , , , ,
2018-06-09 17:23:00,22.05,8374, , , , ,
2018-06-09 17:23:15,22.01,8374, , , , ,
2018-06-09 17:23:30,21.96,8410, , , , ,
2018-06-09 17:23:45,21.96,8402, , , , ,
2018-06-09 17:24:00,21.96,8410, , , , ,
2018-06-09 17:24:15,21.96,8410, , , , ,
2018-06-09 17:24:30,22.01,8387, , , , ,
2018-06-09 17:24:45,21.96,8353, , , , ,
2018-06-09 17:25:00,21.92,8323, , , , ,
2018-06-09 17:25:15,21.88,8282, , , , ,
2018-06-09 17:25:30,21.88,8274, , , , ,
2018-06-09 17:25:45,21.88,8238, , , , ,
2018-06-09 17:26:00,21.92,8225, , , , ,
2018-06-09 17:26:15,21.88,8210, , , , ,
2018-06-09 17:26:30,21.92,8246, , , , ,
2018-06-09 17:26:45,21.92,8246, , , , ,
2018-06-09 17:27:00,21.88,8259, , , , ,
2018-06-09 17:27:15,21.88,8353, , , , ,
2018-06-09 17:27:30,21.88,8586, , , , ,
2018-06-09 17:27:45,21.88,8125, , , , ,
2018-06-09 17:28:00,21.83,8033, , , , ,
2018-06-09 17:28:15,21.88,7946, , , , ,
2018-06-09 17:28:30,21.83,7862, , , , ,
2018-06-09 17:28:45,21.83,7754, , , , ,
2018-06-09 17:29:00,21.83,7649, , , , ,
2018-06-09 17:29:15,21.79,7521, , , , ,
2018-06-09 17:29:30,21.75,7421, , , , ,
2018-06-09 17:29:45,21.75,7329, , , , ,
2018-06-09 17:30:00,21.75,7237, , , , ,
2018-06-09 17:30:15,21.75,7160, , , , ,
2018-06-09 17:30:30,21.66,7091, , , , ,
