Serial Number:20343019 --

Date Time - GMT -04:00,"Temp, (*C)","Intensity, (lux)",Button Down,Button Up,Host Connect,EOF,
2018-06-09 17:00:00,24.66,11658, , , , ,
2018-06-09 17:00:15,24.54,11597, , , , ,
2018-06-09 17:00:30,24.49,11576, , , , ,
2018-06-09 17:00:45,24.41,11510, , , , ,
2018-06-09 17:01:00,24.36,11540, , , , ,
2018-06-09 17:01:15,24.24,11556, , , , ,
2018-06-09 17:01:30,24.19,11587, , , , ,
2018-06-09 17:01:45,24.11,11638, , , , ,
2018-06-09 17:02:00,24.02,11699, , , , ,
2018-06-09 17:02:15,24.06,11781, , , , ,
2018-06-09 17:02:30,23.98,11863, , , , ,
2018-06-09 17:02:45,23.89,11976, , , , ,
2018-06-09 17:03:00,23.85,12078, , , , ,
2018-06-09 17:03:15,23.81,12160, , , , ,
2018-06-09 17:03:30,23.81,12221, , , , ,
2018-06-09 17:03:45,23.72,12268, , , , ,
2018-06-09 17:04:00,23.76,12298, , , , ,
2018-06-09 17:04:15,23.72,12288, , , , ,
2018-06-09 17:04:30,23.72,12298, , , , ,
2018-06-09 17:04:45,23.68,12298, , , , ,
2018-06-09 17:05:00,23.64,12283, , , , ,
2018-06-09 17:05:15,23.64,12247, , , , ,
2018-06-09 17:05:30,23.55,12170, , , , ,
2018-06-09 17:05:45,23.55,12104, , , , ,
2018-06-09 17:06:00,23.55,12022, , , , ,
2018-06-09 17:06:15,23.51,11935, , , , ,
2018-06-09 17:06:30,23.46,11837, , , , ,
2018-06-09 17:06:45,23.42,11750, , , , ,
2018-06-09 17:07:00,23.42,11643, , , , ,
2018-06-09 17:07:15,23.38,11576, , , , ,
2018-06-09 17:07:30,23.38,11515, , , , ,
2018-06-09 17:07:45,23.38,11443, , , , ,
2018-06-09 17:08:00,23.34,11402, , , , ,
2018-06-09 17:08:15,23.25,11397, , , , ,
2018-06-09 17:08:30,23.25,11387, , , , ,
2018-06-09 17:08:45,23.21,11382, , , , ,
2018-06-09 17:09:00,23.12,11372, , , , ,
2018-06-09 17:09:15,23.12,11366, , , , ,
2018-06-09 17:09:30,23.03,11366, , , , ,
2018-06-09 17:09:45,22.99,11366, , , , ,
2018-06-09 17:10:00,22.95,11397, , , , ,
2018-06-09 17:10:15,22.95,11433, , , , ,
2018-06-09 17:10:30,22.95,11464, , , , ,
2018-06-09 17:10:45,22.86,11530, , , , ,
2018-06-09 17:11:00,22.82,11607, , , , ,
2018-06-09 17:11:15,22.82,11699, , , , ,
2018-06-09 17:11:30,22.78,11781, , , , ,
2018-06-09 17:11:45,22.69,11878, , , , ,
2018-06-09 17:12:00,22.73,11996, , , , ,
2018-06-09 17:12:15,22.69,12186, , , , ,
2018-06-09 17:12:30,22.65,12396, , , , ,
2018-06-09 17:12:45,22.69,12621, , , , ,
2018-06-09 17:13:00,22.69,13102, , , , ,
2018-06-09 17:13:15,22.69,13414, , , , ,
2018-06-09 17:13:30,22.69,12995, , , , ,
2018-06-09 17:13:45,22.69,12995, , , , ,
2018-06-09 17:14:00,22.73,13102, , , , ,
2018-06-09 17:14:15,22.73,13235, , , , ,
2018-06-09 17:14:30,22.78,13379, , , , ,
2018-06-09 17:14:45,22.78,13491, , , , ,
2018-06-09 17:15:00,22.73,13599, , , , ,
2018-06-09 17:15:15,22.73,13686, , , , ,
2018-06-09 17:15:30,22.65,13793, , , , ,
2018-06-09 17:15:45,22.78,13896, , , , ,
2018-06-09 17:16:00,22.69,13972, , , , ,
2018-06-09 17:16:15,22.69,14054, , , , ,
2018-06-09 17:16:30,22.69,14131, , , , ,
2018-06-09 17:16:45,22.69,14244, , , , ,
2018-06-09 17:17:00,22.69,14346, , , , ,
2018-06-09 17:17:15,22.65,14459, , , , ,
2018-06-09 17:17:30,22.69,14602, , , , ,
2018-06-09 17:17:45,22.69,14715, , , , ,
2018-06-09 17:18:00,22.65,14863, , , , ,
2018-06-09 17:18:15,22.65,14991, , , , ,
2018-06-09 17:18:30,22.69,15150, , , , ,
2018-06-09 17:18:45,22.69,15329, , , , ,
2018-06-09 17:19:00,22.69,15570, , , , ,
2018-06-09 17:19:15,22.65,16036, , , , ,
2018-06-09 17:19:30,22.69,17075, , , , ,
2018-06-09 17:19:45,22.78,16773, , , , ,
2018-06-09 17:20:00,22.78,16471, , , , ,
2018-06-09 17:20:15,22.78,16758, , , , ,
2018-06-09 17:20:30,22.73,16189, , , , ,
2018-06-09 17:20:45,22.78,16036, , , , ,
2018-06-09 17:21:00,22.69,15964, , , , ,
2018-06-09 17:21:15,22.69,15954, , , , ,
2018-06-09 17:21:30,22.69,15985, , , , ,
2018-06-09 17:21:45,22.65,16015, , , , ,
2018-06-09 17:22:00,22.65,16082, , , , ,
2018-06-09 17:22:15,22.61,16118, , , , ,
2018-06-09 17:22:30,22.65,16159, , , , ,
2018-06-09 17:22:45,22.65,16189, , , , ,
2018-06-09 17:23:00,22.65,16230, , , , ,
2018-06-09 17:23:15,22.65,16276, , , , ,
2018-06-09 17:23:30,22.65,16307, , , , ,
2018-06-09 17:23:45,22.65,16323, , , , ,
2018-06-09 17:24:00,22.65,16328, , , , ,
2018-06-09 17:24:15,22.65,16302, , , , ,
2018-06-09 17:24:30,22.69,16246, , , , ,
2018-06-09 17:24:45,22.61,16189, , , , ,
2018-06-09 17:25:00,22.65,16092, , , , ,
2018-06-09 17:25:15,22.65,16000, , , , ,
2018-06-09 17:25:30,22.65,15903, , , , ,
2018-06-09 17:25:45,22.65,15852, , , , ,
2018-06-09 17:26:00,22.61,15811, , , , ,
2018-06-09 17:26:15,22.61,15811, , , , ,
2018-06-09 17:26:30,22.61,15852, , , , ,
2018-06-09 17:26:45,22.65,15877, , , , ,
2018-06-09 17:27:00,22.65,15908, , , , ,
2018-06-09 17:27:15,22.65,15964, , , , ,
2018-06-09 17:27:30,22.65,16036, , , , ,
2018-06-09 17:27:45,22.73,15841, , , , ,
2018-06-09 17:28:00,22.65,15662, , , , ,
2018-06-09 17:28:15,22.61,15514, , , , ,
2018-06-09 17:28:30,22.65,15386, , , , ,
2018-06-09 17:28:45,22.61,15227, , , , ,
2018-06-09 17:29:00,22.56,15048, , , , ,
2018-06-09 17:29:15,22.61,14894, , , , ,
2018-06-09 17:29:30,22.48,14730, , , , ,
2018-06-09 17:29:45,22.52,14582, , , , ,
2018-06-09 17:30:00,22.43,14413, , , , ,
2018-06-09 17:30:15,22.43,14280, , , , ,
2018-06-09 17:30:30,22.43,14116, , , , ,
2018-06-09 17:30:45,22.39,13957, , , , ,
2018-06-09 17:31:00,22.31,13824, , , , ,
2018-06-09 17:31:15,22.26,13681, , , , ,
2018-06-09 17:31:30,22.26,13537, , , , ,
2018-06-09 17:31:45,22.26,13389, , , , ,
2018-06-09 17:32:00,22.18,13215, , , , ,
2018-06-09 17:32:15,22.18,13087, , , , ,
2018-06-09 17:32:30,22.09,12923, , , , ,
